date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:35	5521/5521	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Jan%202019%2008:57:07%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/cart.api.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/cart.apid645.js	(from https://naturecircle.myshopify.com/)
13:21:35	5362/5362	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2002%20Mar%202019%2004:56:48%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/themed645.js	(from https://naturecircle.myshopify.com/)
13:21:36	1554/1554	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Jan%202019%2004:40:38%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/newsletter-js.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/newsletter-jsd645.js	(from https://naturecircle.myshopify.com/)
13:21:39	32320/32320	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Mar%202019%2011:00:02%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/1_73eb7f57-63fe-4bb1-85c3-ec417a5575fb_440x550_crop_center.jpg?v=1546851802	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/1_73eb7f57-63fe-4bb1-85c3-ec417a5575fb_440x550_crop_center0635.jpg	(from https://naturecircle.myshopify.com/)
13:21:39	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/achraf/OneDrive/Bureau/FrontPep/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://naturecircle.myshopify.com/)
13:21:40	140361/140361	---MCZ	200	added ('OK')	text/html	etag:cacheable:5c4d715fca9763e7f0f57994545820b7	https://naturecircle.myshopify.com/collections	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections.html	(from https://naturecircle.myshopify.com/)
13:21:40	101/101	---MC-	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202019%2012:21:34%20GMT	https://naturecircle.myshopify.com/?preview_theme_id=55309598784	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/indexe804.html	(from https://naturecircle.myshopify.com/)
13:21:40	101/101	---MC-	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202019%2012:21:37%20GMT	https://naturecircle.myshopify.com/?preview_theme_id=63748341824	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/indexdee2.html	(from https://naturecircle.myshopify.com/)
13:21:40	101/101	---MC-	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202019%2012:21:38%20GMT	https://naturecircle.myshopify.com/?preview_theme_id=63749029952	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/index92fb.html	(from https://naturecircle.myshopify.com/)
13:21:41	101/101	---MC-	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202019%2012:21:38%20GMT	https://naturecircle.myshopify.com/?preview_theme_id=63750045760	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/index0264.html	(from https://naturecircle.myshopify.com/)
13:21:41	101/101	---MC-	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202019%2012:21:38%20GMT	https://naturecircle.myshopify.com/?preview_theme_id=63746441280	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/index13ae.html	(from https://naturecircle.myshopify.com/)
13:21:42	5996/5996	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202019%2008:18:57%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-1_grande.jpg?v=1547541527	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-1_grandec517.jpg	(from https://naturecircle.myshopify.com/)
13:21:42	73223/73223	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:39%20GMT	https://naturecircle.myshopify.com/collections/bags	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/bags.html	(from https://naturecircle.myshopify.com/)
13:21:44	7531/7531	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202019%2015:19:44%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-2_grande.jpg?v=1547541568	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-2_grande9dd2.jpg	(from https://naturecircle.myshopify.com/)
13:21:44	76886/76886	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:41%20GMT	https://naturecircle.myshopify.com/collections/bottoms	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/bottoms.html	(from https://naturecircle.myshopify.com/)
13:21:45	76869/76869	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:42%20GMT	https://naturecircle.myshopify.com/collections/shirts	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/shirts.html	(from https://naturecircle.myshopify.com/)
13:21:46	6876/6876	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Feb%202019%2005:03:11%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-3_grande.jpg?v=1547541613	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/menu-3_grandecd9c.jpg	(from https://naturecircle.myshopify.com/)
13:21:46	101646/101646	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:43%20GMT	https://naturecircle.myshopify.com/collections/all	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/all.html	(from https://naturecircle.myshopify.com/)
13:21:47	112569/112569	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:44%20GMT	https://naturecircle.myshopify.com/products/5-simple-product	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/5-simple-product.html	(from https://naturecircle.myshopify.com/)
13:21:50	245694/245694	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:45%20GMT	https://naturecircle.myshopify.com/products/3-variable-product	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/3-variable-product.html	(from https://naturecircle.myshopify.com/)
13:21:55	116587/116587	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:45%20GMT	https://naturecircle.myshopify.com/products/7-sample-affiliate-product	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/7-sample-affiliate-product.html	(from https://naturecircle.myshopify.com/)
13:21:56	115998/115998	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:54%20GMT	https://naturecircle.myshopify.com/products/4-soldout-product?variant=20304133095488	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/4-soldout-productf2ee.html	(from https://naturecircle.myshopify.com/)
